epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.045,1.95098,1.66186,1.16226,0.76334,0.67243,0.72816,0.38064,1.63691,0.90406,1.07695,0.000664889,0.000664889,0.000664889
2,202.514,1.67246,0.90282,1.06215,0.78815,0.71448,0.77087,0.41067,1.58486,0.86057,1.06418,0.00128761,0.00128761,0.00128761
3,315.661,1.63554,0.86766,1.05252,0.77555,0.69701,0.76672,0.41588,1.55967,0.85446,1.04089,0.00186634,0.00186634,0.00186634
4,419.318,1.60285,0.83626,1.03542,0.81577,0.74252,0.81061,0.44677,1.52154,0.79831,1.03035,0.001802,0.001802,0.001802
5,523.564,1.58026,0.81376,1.02975,0.81757,0.72745,0.80056,0.44513,1.50484,0.78628,1.03256,0.001736,0.001736,0.001736
6,637.455,1.56687,0.80174,1.01848,0.8339,0.76149,0.82439,0.46444,1.47859,0.76103,1.01345,0.00167,0.00167,0.00167
7,742.802,1.5475,0.78781,1.01601,0.83923,0.76539,0.82655,0.46779,1.46235,0.75212,1.01664,0.001604,0.001604,0.001604
8,850.977,1.53532,0.77377,1.01162,0.84172,0.76907,0.83533,0.4778,1.44678,0.73009,1.00767,0.001538,0.001538,0.001538
9,961.113,1.53007,0.7626,1.00768,0.8276,0.75272,0.82889,0.46691,1.47461,0.75018,1.01121,0.001472,0.001472,0.001472
10,1072.7,1.50878,0.74691,0.9984,0.85646,0.77317,0.84207,0.48383,1.43632,0.72179,1.00011,0.001406,0.001406,0.001406
11,1182.56,1.506,0.7453,0.99862,0.85365,0.7838,0.84268,0.48765,1.44356,0.70299,1.00357,0.00134,0.00134,0.00134
12,1293.41,1.48994,0.73611,0.9956,0.86205,0.78112,0.85243,0.4913,1.43746,0.70014,0.99725,0.001274,0.001274,0.001274
13,1404.56,1.49428,0.73085,0.99396,0.86164,0.78206,0.84744,0.4934,1.42778,0.69131,1.00135,0.001208,0.001208,0.001208
14,1515.36,1.49175,0.72753,0.99395,0.85923,0.78629,0.85061,0.49353,1.4289,0.69405,0.99642,0.001142,0.001142,0.001142
15,1626.62,1.48373,0.71706,0.98847,0.86347,0.78407,0.85472,0.49747,1.41683,0.68804,0.99345,0.001076,0.001076,0.001076
16,1738.49,1.47689,0.71344,0.98933,0.86423,0.79094,0.85844,0.49932,1.41527,0.68448,0.99253,0.00101,0.00101,0.00101
17,1847.03,1.47488,0.71343,0.98659,0.869,0.79369,0.85896,0.50187,1.41568,0.6729,0.99179,0.000944,0.000944,0.000944
18,1951.97,1.47205,0.70708,0.98482,0.8672,0.79516,0.86087,0.50308,1.40555,0.67142,0.98858,0.000878,0.000878,0.000878
19,2068.37,1.46319,0.69644,0.98135,0.87202,0.79378,0.86636,0.50804,1.39978,0.6704,0.98682,0.000812,0.000812,0.000812
20,2183.45,1.45424,0.69281,0.9821,0.87067,0.80027,0.867,0.50967,1.39598,0.65971,0.98775,0.000746,0.000746,0.000746
21,2302.84,1.43298,0.69724,0.99821,0.87232,0.79659,0.86363,0.5089,1.40091,0.66554,0.98706,0.00068,0.00068,0.00068
22,2416.97,1.42488,0.6856,0.99428,0.8705,0.80459,0.86776,0.51138,1.39744,0.66186,0.98584,0.000614,0.000614,0.000614
23,2525.55,1.41788,0.67731,0.99102,0.87275,0.80585,0.86973,0.51225,1.39322,0.65856,0.98401,0.000548,0.000548,0.000548
24,2632.55,1.41618,0.67484,0.9882,0.8665,0.79916,0.8684,0.5126,1.39173,0.65574,0.98281,0.000482,0.000482,0.000482
25,2737.61,1.40086,0.66568,0.98835,0.87797,0.80716,0.87447,0.51815,1.38401,0.64403,0.97999,0.000416,0.000416,0.000416
26,2839.19,1.40519,0.66203,0.9858,0.87881,0.8107,0.87512,0.51839,1.38737,0.64484,0.98107,0.00035,0.00035,0.00035
27,2938.63,1.39615,0.65701,0.98527,0.88065,0.81093,0.87726,0.52153,1.38203,0.63908,0.97927,0.000284,0.000284,0.000284
28,3037.55,1.39409,0.65173,0.98267,0.87909,0.80824,0.87792,0.52243,1.37688,0.63569,0.97815,0.000218,0.000218,0.000218
29,3137.03,1.38978,0.64879,0.97981,0.87989,0.80863,0.8769,0.52209,1.37813,0.63307,0.97803,0.000152,0.000152,0.000152
30,3240.33,1.38556,0.64426,0.97959,0.87965,0.8102,0.87959,0.52418,1.37365,0.6313,0.97558,8.6e-05,8.6e-05,8.6e-05
